Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw,,best value,,model 1 mae,,difference
0,0,79.77534657,82.3999399,107.82228,82.9125793,98.74132842,93.19829518,7.418309262,7.61E+35,1.079308483,2.98E+35,7.91E+35,1.723517736,15.07201233,10.59493053,2.969050779,17.35139393,6.343182882,1.826840431,3.101336209,0.810078303,8.618409853,12.4027168,5.829303062,6.592619832, ,0.810078303,,4.705699158,,-3.895620855
0,1,79.43803267,82.35834585,102.5062902,81.416612,103.613384,89.6499508,6.540802842,7.61E+35,1.07963829,2.98E+35,7.98E+35,2.834104718,8.960191398,7.091095338,2.718966324,7.907125,4.762041728,2.351278687,3.222602638,1.199032811,10.65704915,8.21923879,3.548267365,4.912283052, ,1.07963829,,4.862566932,,-3.782928641
0,2,81.67005504,87.89734257,92.77578417,73.16546398,91.29155898,90.45594788,6.221153188,8.04E+35,1.31019376,2.77E+35,8.11E+35,1.814293538,6.593013218,5.901967248,2.710082733,5.780446798,4.27970312,1.90385622,2.544214884,0.605983343,8.689554335,7.262809422,2.915555601,5.541723633, ,0.605983343,,4.513297526,,-3.907314183
0,3,75.94714725,74.02133862,84.37066377,78.62594651,85.90652488,78.88948568,4.087099538,8.11E+35,0.948531985,2.89E+35,8.59E+35,1.268500817,4.512188606,5.628139052,1.989786784,5.696293166,1.850275731,1.460579146,4.197638811,0.617078467,4.948838345,4.80488869,2.507062613,4.169215152, ,0.617078467,,3.543993632,,-2.926915165
0,4,71.20757055,70.79068767,81.3842524,71.95262954,84.71516204,73.27812796,1.96014246,8.59E+35,0.75700453,2.98E+35,8.82E+35,0.947818068,2.724234188,4.799296763,1.410675897,5.681723541,1.328738646,1.653467022,2.617062578,0.405767069,2.696330531,3.460926228,2.518154689,3.004337815, ,0.405767069,,2.846935781,,-2.441168712
0,5,71.664756,75.79528541,86.09046201,66.59574589,80.65293692,78.40394503,1.120233944,8.45E+35,0.830462045,3.12E+35,8.59E+35,0.997529745,2.137638814,5.93854777,1.181244026,2.996957397,1.420403163,1.25062222,1.835571012,0.458797547,3.041045179,3.157627039,2.209858418,2.610948579, ,0.458797547,,2.410111491,,-1.951313944
0,6,88.53477687,89.69482422,107.9512695,86.96109318,101.3904127,94.29879274,1.521130716,7.73E+35,1.213428995,2.59E+35,8.24E+35,1.621547923,3.442245738,6.76513117,1.18921819,2.722639698,1.733422632,1.914621474,2.683356851,0.697084831,4.761490304,3.266628174,2.875063602,2.857497538, ,0.697084831,,3.085013438,,-2.387928607
0,7,96.21300223,100.6471026,103.7513114,90.55442243,110.0038923,97.34354626,1.637883262,7.98E+35,2.127963279,2.19E+35,8.31E+35,2.146436166,2.696479534,4.425128067,1.849867503,2.557199951,2.207138453,1.877429062,2.778956894,1.013073777,2.930586979,2.317082683,2.405105313,2.528536797, ,1.013073777,,3.601566823,,-2.588493047
0,8,65.65369699,64.71037545,78.41940569,62.4429269,79.04476842,67.67641356,1.561681539,8.24E+35,2.580708747,2.14E+35,8.74E+35,1.243342745,2.94320706,5.619797215,1.66680009,2.316348267,1.705190023,1.36294651,2.898501926,1.378523199,1.625264533,2.141050596,2.325590564,1.392123523, ,1.243342745,,2.530517324,,-1.287174579
0,9,55.25794247,46.73689425,65.65658482,49.31257077,67.41916469,51.39534859,0.356447718,9.68E+35,1.416940647,2.56E+35,1.08E+36,0.78238256,1.365461634,3.359753215,1.289281698,1.313878377,0.488705953,0.477813314,1.178412301,0.459630013,0.344969023,1.135321617,0.836087492,0.703328211, ,0.344969023,,1.737365986,,-1.392396963
0,10,50.57160043,41.36023131,61.02347996,46.08894061,59.3024867,47.56010527,0.178287882,1.16E+36,0.765033359,3.16E+35,1.28E+36,0.557699188,0.319616887,0.560920943,2.291376887,0.549758091,0.240161896,0.187721807,0.767761404,0.178283008,0.066124193,0.517519509,0.152642176,0.345298664, ,0.066124193,,1.715074868,,-1.648950675
0,11,49.84205387,41.52393341,59.8903899,47.10946801,55.666235,44.68687985,0.106461408,1.44E+36,0.662363393,3.83E+35,1.61E+36,0.446186835,1.048137029,0.563127975,1.135737847,0.613987986,0.194889373,0.164549996,0.591544469,0.085545091,0.076558332,0.413649983,0.095149994,0.174534919, ,0.076558332,,4.623203902,,-4.54664557
0,12,46.95627945,40.98125,55.77789638,44.82954688,52.08656583,42.68094308,0.305548807,1.99E+36,1.330423151,5.25E+35,2.12E+36,0.696549506,4.440329275,2.811146092,0.557825626,0.44044116,1.186740112,1.318681775,0.437931155,0.354936663,0.609665632,0.777346512,0.33714704,0.303502488, ,0.303502488,,4.57105759,,-4.267555101
0,13,38.72369026,38.69483754,50.79936801,39.97697149,48.97886383,41.12048648,1.013837457,2.77E+36,2.626778836,5.70E+35,2.56E+36,2.006456375,3.638131068,4.611923581,1.29620003,0.444474515,2.79084467,2.638059263,0.493388433,0.778054555,1.865607031,0.552804257,0.797642899,0.818031776, ,0.444474515,,1.709481782,,-1.265007267
0,14,26.36264936,25.540817,34.39982986,27.70477556,34.2850486,27.98130944,0.116157134,2.69E+36,0.437696292,5.86E+35,3.12E+36,0.503211486,0.659079194,0.452627892,0.547756255,0.101270734,0.4804143,1.051083326,0.137735135,0.078077273,0.092038466,0.278740644,0.081784615,0.240397215, ,0.078077273,,0.724098983,,-0.64602171
0,15,12.375626,12.61844195,19.32714456,17.93700961,21.69941139,12.10689856,0.245936871,2.69E+36,0.269265652,6.65E+35,3.22E+36,0.315229684,0.998313644,2.149673886,0.149297375,0.139314284,0.405083338,0.388572006,0.252165616,0.407842109,0.125394733,0.30133448,0.79678998,0.039245947, ,0.039245947,,0.473327429,,-0.434081482
0,16,21.57664591,19.85478283,21.55684814,21.97599626,21.11046976,18.68556871,0.174389277,3.12E+36,1.048447159,7.12E+35,2.85E+36,0.312518321,0.965044811,1.102664266,1.399317878,0.201367872,0.735371453,0.511821044,0.364400016,0.182722224,0.330306657,0.552169991,0.18270401,0.396391167, ,0.174389277,,0.671603816,,-0.497214539
0,17,37.32765759,32.64714813,38.55312738,32.94325532,40.43134923,34.8105957,0.552793108,2.85E+36,2.372203979,6.43E+35,2.69E+36,1.76275247,2.358884335,2.56279418,2.660291748,0.766727274,0.91212302,0.868457794,1.000147202,0.844139938,0.739470005,0.71674485,0.340976652,0.401348765, ,0.340976652,,1.97024032,,-1.629263669
0,18,40.19677298,43.03523314,36.70281316,42.10191608,43.74598883,39.99688883,0.170525797,2.62E+36,1.282746545,6.23E+35,3.02E+36,1.567067146,0.932979255,2.754485648,0.889834624,0.607608073,0.386710331,0.319517851,0.396324975,0.488687935,0.639490312,0.331142834,0.563860003,0.091635137, ,0.091635137,,2.634341649,,-2.542706512
